emp_id,dates,in_time,out_time
1,02/05/2018,00:00.0,00:00.0
1,04/05/2018,00:00.0,00:00.0
1,07/05/2018,00:00.0,00:00.0
1,09/05/2018,NULL,NULL
1,11/05/2018,00:00.0,00:00.0
1,14/05/2018,30:00.0,00:00.0
1,16/05/2018,00:00.0,00:00.0
1,18/05/2018,00:00.0,00:00.0
1,21/05/2018,NULL,NULL
1,23/05/2018,00:00.0,00:00.0
1,25/05/2018,00:00.0,00:00.0
1,28/05/2018,00:00.0,00:00.0
1,30/05/2018,00:00.0,00:00.0
1,01/06/2018,00:00.0,00:00.0
1,04/06/2018,00:00.0,00:00.0
1,06/06/2018,NULL,NULL
1,08/06/2018,00:00.0,00:00.0
1,11/06/2018,00:00.0,00:00.0
1,13/06/2018,00:00.0,00:00.0
1,15/06/2018,NULL,NULL
1,18/06/2018,00:00.0,00:00.0
1,20/06/2018,15:00.0,00:00.0
1,22/06/2018,00:00.0,00:00.0
1,25/06/2018,00:00.0,00:00.0
1,27/06/2018,00:00.0,00:00.0
1,29/06/2018,00:00.0,00:00.0
2,02/05/2018,00:00.0,00:00.0
2,04/05/2018,00:00.0,00:00.0
2,07/05/2018,00:00.0,00:00.0
2,09/05/2018,00:00.0,00:00.0
2,11/05/2018,00:00.0,00:00.0
2,14/05/2018,NULL,NULL
2,16/05/2018,00:00.0,00:00.0
2,18/05/2018,00:00.0,00:00.0
2,21/05/2018,00:00.0,00:00.0
2,23/05/2018,00:00.0,00:00.0
2,25/05/2018,00:00.0,00:00.0
2,28/05/2018,NULL,NULL
2,30/05/2018,00:00.0,00:00.0
2,01/06/2018,00:00.0,00:00.0
2,04/06/2018,00:00.0,00:00.0
2,06/06/2018,00:00.0,00:00.0
2,08/06/2018,00:00.0,00:00.0
2,11/06/2018,00:00.0,00:00.0
2,13/06/2018,00:00.0,00:00.0
2,15/06/2018,00:00.0,00:00.0
2,18/06/2018,NULL,NULL
2,20/06/2018,NULL,NULL
2,22/06/2018,00:00.0,00:00.0
2,25/06/2018,00:00.0,00:00.0
2,27/06/2018,00:00.0,00:00.0
2,29/06/2018,00:00.0,00:00.0
3,02/05/2018,00:00.0,00:00.0
3,04/05/2018,00:00.0,00:00.0
3,07/05/2018,00:00.0,00:00.0
3,09/05/2018,00:00.0,00:00.0
3,11/05/2018,00:00.0,00:00.0
3,14/05/2018,00:00.0,00:00.0
3,16/05/2018,00:00.0,00:00.0
3,18/05/2018,00:00.0,00:00.0
3,21/05/2018,00:00.0,00:00.0
3,23/05/2018,00:00.0,00:00.0
3,25/05/2018,00:00.0,00:00.0
3,28/05/2018,00:00.0,00:00.0
3,30/05/2018,00:00.0,00:00.0
3,01/06/2018,NULL,NULL
3,04/06/2018,NULL,NULL
3,06/06/2018,NULL,NULL
3,08/06/2018,NULL,NULL
3,11/06/2018,NULL,NULL
3,13/06/2018,00:00.0,00:00.0
3,15/06/2018,00:00.0,00:00.0
3,18/06/2018,00:00.0,00:00.0
3,20/06/2018,00:00.0,00:00.0
3,22/06/2018,00:00.0,00:00.0
3,25/06/2018,00:00.0,00:00.0
3,27/06/2018,00:00.0,00:00.0
3,29/06/2018,00:00.0,00:00.0
4,02/05/2018,00:00.0,00:00.0
4,04/05/2018,00:00.0,00:00.0
4,07/05/2018,00:00.0,00:00.0
4,09/05/2018,00:00.0,00:00.0
4,11/05/2018,00:00.0,00:00.0
4,14/05/2018,00:00.0,00:00.0
4,16/05/2018,00:00.0,00:00.0
4,18/05/2018,00:00.0,00:00.0
4,21/05/2018,00:00.0,00:00.0
4,23/05/2018,00:00.0,00:00.0
4,25/05/2018,00:00.0,00:00.0
4,28/05/2018,00:00.0,00:00.0
4,30/05/2018,00:00.0,00:00.0
4,01/06/2018,00:00.0,00:00.0
4,04/06/2018,00:00.0,00:00.0
4,06/06/2018,00:00.0,00:00.0
4,08/06/2018,00:00.0,00:00.0
4,11/06/2018,00:00.0,00:00.0
4,13/06/2018,00:00.0,00:00.0
4,15/06/2018,00:00.0,00:00.0
4,18/06/2018,00:00.0,00:00.0
4,20/06/2018,00:00.0,00:00.0
4,22/06/2018,00:00.0,00:00.0
4,25/06/2018,00:00.0,00:00.0
4,27/06/2018,00:00.0,00:00.0
4,29/06/2018,00:00.0,00:00.0
5,02/05/2018,00:00.0,00:00.0
5,04/05/2018,00:00.0,00:00.0
5,07/05/2018,00:00.0,00:00.0
5,09/05/2018,00:00.0,00:00.0
5,11/05/2018,00:00.0,00:00.0
5,14/05/2018,00:00.0,00:00.0
5,16/05/2018,00:00.0,00:00.0
5,18/05/2018,00:00.0,00:00.0
5,21/05/2018,00:00.0,00:00.0
5,23/05/2018,00:00.0,00:00.0
5,25/05/2018,00:00.0,00:00.0
5,28/05/2018,00:00.0,00:00.0
5,30/05/2018,00:00.0,00:00.0
5,01/06/2018,00:00.0,00:00.0
5,04/06/2018,00:00.0,00:00.0
5,06/06/2018,00:00.0,00:00.0
5,08/06/2018,00:00.0,00:00.0
5,11/06/2018,00:00.0,00:00.0
5,13/06/2018,00:00.0,00:00.0
5,15/06/2018,00:00.0,00:00.0
5,18/06/2018,00:00.0,00:00.0
5,20/06/2018,00:00.0,00:00.0
5,22/06/2018,00:00.0,00:00.0
5,25/06/2018,00:00.0,00:00.0
5,27/06/2018,00:00.0,00:00.0
5,29/06/2018,00:00.0,00:00.0
6,02/05/2018,00:00.0,00:00.0
6,04/05/2018,00:00.0,00:00.0
6,07/05/2018,00:00.0,00:00.0
6,09/05/2018,00:00.0,00:00.0
6,11/05/2018,00:00.0,00:00.0
6,14/05/2018,00:00.0,00:00.0
6,16/05/2018,00:00.0,00:00.0
6,18/05/2018,00:00.0,00:00.0
6,21/05/2018,00:00.0,00:00.0
6,23/05/2018,00:00.0,00:00.0
6,25/05/2018,00:00.0,00:00.0
6,28/05/2018,00:00.0,00:00.0
6,30/05/2018,00:00.0,00:00.0
6,01/06/2018,00:00.0,00:00.0
6,04/06/2018,00:00.0,00:00.0
6,06/06/2018,00:00.0,00:00.0
6,08/06/2018,00:00.0,00:00.0
6,11/06/2018,00:00.0,00:00.0
6,13/06/2018,00:00.0,00:00.0
6,15/06/2018,00:00.0,00:00.0
6,18/06/2018,00:00.0,00:00.0
6,20/06/2018,00:00.0,00:00.0
6,22/06/2018,00:00.0,00:00.0
6,25/06/2018,00:00.0,00:00.0
6,27/06/2018,00:00.0,00:00.0
6,29/06/2018,00:00.0,00:00.0
7,02/05/2018,00:00.0,00:00.0
7,04/05/2018,00:00.0,00:00.0
7,07/05/2018,00:00.0,00:00.0
7,09/05/2018,00:00.0,00:00.0
7,11/05/2018,00:00.0,00:00.0
7,14/05/2018,00:00.0,00:00.0
7,16/05/2018,00:00.0,00:00.0
7,18/05/2018,00:00.0,00:00.0
7,21/05/2018,00:00.0,00:00.0
7,23/05/2018,00:00.0,00:00.0
7,25/05/2018,00:00.0,00:00.0
7,28/05/2018,00:00.0,00:00.0
7,30/05/2018,00:00.0,00:00.0
7,01/06/2018,00:00.0,00:00.0
7,04/06/2018,00:00.0,00:00.0
7,06/06/2018,00:00.0,00:00.0
7,08/06/2018,00:00.0,00:00.0
7,11/06/2018,00:00.0,00:00.0
7,13/06/2018,00:00.0,00:00.0
7,15/06/2018,00:00.0,00:00.0
7,18/06/2018,00:00.0,00:00.0
7,20/06/2018,00:00.0,00:00.0
7,22/06/2018,00:00.0,00:00.0
7,25/06/2018,00:00.0,00:00.0
7,27/06/2018,00:00.0,00:00.0
7,29/06/2018,00:00.0,00:00.0
8,02/05/2018,00:00.0,00:00.0
8,04/05/2018,00:00.0,00:00.0
8,07/05/2018,00:00.0,00:00.0
8,09/05/2018,00:00.0,00:00.0
8,11/05/2018,00:00.0,00:00.0
8,14/05/2018,00:00.0,00:00.0
8,16/05/2018,00:00.0,00:00.0
8,18/05/2018,00:00.0,00:00.0
8,21/05/2018,00:00.0,00:00.0
8,23/05/2018,00:00.0,00:00.0
8,25/05/2018,00:00.0,00:00.0
8,28/05/2018,00:00.0,00:00.0
8,30/05/2018,00:00.0,00:00.0
8,01/06/2018,00:00.0,00:00.0
8,04/06/2018,00:00.0,00:00.0
8,06/06/2018,00:00.0,00:00.0
8,08/06/2018,00:00.0,00:00.0
8,11/06/2018,00:00.0,00:00.0
8,13/06/2018,00:00.0,00:00.0
8,15/06/2018,00:00.0,00:00.0
8,18/06/2018,00:00.0,00:00.0
8,20/06/2018,00:00.0,00:00.0
8,22/06/2018,00:00.0,00:00.0
8,25/06/2018,00:00.0,00:00.0
8,27/06/2018,00:00.0,00:00.0
8,29/06/2018,00:00.0,00:00.0
9,01/05/2018,00:00.0,00:00.0
9,03/05/2018,00:00.0,00:00.0
9,05/05/2018,00:00.0,00:00.0
9,08/05/2018,00:00.0,00:00.0
9,10/05/2018,00:00.0,00:00.0
9,12/05/2018,00:00.0,00:00.0
9,15/05/2018,00:00.0,00:00.0
9,17/05/2018,00:00.0,00:00.0
9,19/05/2018,00:00.0,00:00.0
9,22/05/2018,00:00.0,00:00.0
9,24/05/2018,00:00.0,00:00.0
9,02/06/2018,00:00.0,00:00.0
9,05/06/2018,00:00.0,00:00.0
9,07/06/2018,00:00.0,00:00.0
9,09/06/2018,00:00.0,00:00.0
9,12/06/2018,00:00.0,00:00.0
9,14/06/2018,00:00.0,00:00.0
9,16/06/2018,00:00.0,00:00.0
9,19/06/2018,00:00.0,00:00.0
9,21/06/2018,00:00.0,00:00.0
9,23/06/2018,00:00.0,00:00.0
9,26/06/2018,00:00.0,00:00.0
9,28/06/2018,00:00.0,00:00.0
9,30/06/2018,00:00.0,00:00.0
10,01/05/2018,00:00.0,00:00.0
10,03/05/2018,00:00.0,00:00.0
10,05/05/2018,00:00.0,00:00.0
10,08/05/2018,00:00.0,00:00.0
10,10/05/2018,00:00.0,00:00.0
10,12/05/2018,00:00.0,00:00.0
10,15/05/2018,00:00.0,00:00.0
10,17/05/2018,00:00.0,00:00.0
10,19/05/2018,00:00.0,00:00.0
10,22/05/2018,00:00.0,00:00.0
10,24/05/2018,00:00.0,00:00.0
10,26/05/2018,00:00.0,00:00.0
10,29/05/2018,00:00.0,00:00.0
10,31/05/2018,00:00.0,00:00.0
10,02/06/2018,00:00.0,00:00.0
10,05/06/2018,00:00.0,00:00.0
10,07/06/2018,00:00.0,00:00.0
10,09/06/2018,00:00.0,00:00.0
10,12/06/2018,00:00.0,00:00.0
10,14/06/2018,00:00.0,00:00.0
10,16/06/2018,00:00.0,00:00.0
10,19/06/2018,00:00.0,00:00.0
10,21/06/2018,00:00.0,00:00.0
10,23/06/2018,00:00.0,00:00.0
10,26/06/2018,00:00.0,00:00.0
10,28/06/2018,00:00.0,00:00.0
10,30/06/2018,00:00.0,00:00.0
11,01/05/2018,00:00.0,00:00.0
11,03/05/2018,00:00.0,00:00.0
11,05/05/2018,00:00.0,00:00.0
11,08/05/2018,00:00.0,00:00.0
11,10/05/2018,00:00.0,00:00.0
11,12/05/2018,00:00.0,00:00.0
11,15/05/2018,00:00.0,00:00.0
11,17/05/2018,00:00.0,00:00.0
11,19/05/2018,00:00.0,00:00.0
11,22/05/2018,00:00.0,00:00.0
11,24/05/2018,00:00.0,00:00.0
11,26/05/2018,00:00.0,00:00.0
11,29/05/2018,00:00.0,00:00.0
11,31/05/2018,00:00.0,00:00.0
11,02/06/2018,00:00.0,00:00.0
11,05/06/2018,00:00.0,00:00.0
11,07/06/2018,00:00.0,00:00.0
11,09/06/2018,00:00.0,00:00.0
11,12/06/2018,00:00.0,00:00.0
11,14/06/2018,00:00.0,00:00.0
11,16/06/2018,00:00.0,00:00.0
11,19/06/2018,00:00.0,00:00.0
11,21/06/2018,00:00.0,00:00.0
11,23/06/2018,00:00.0,00:00.0
11,26/06/2018,00:00.0,00:00.0
11,28/06/2018,00:00.0,00:00.0
11,30/06/2018,00:00.0,00:00.0
12,01/05/2018,00:00.0,00:00.0
12,03/05/2018,00:00.0,00:00.0
12,05/05/2018,00:00.0,00:00.0
12,08/05/2018,00:00.0,00:00.0
12,10/05/2018,00:00.0,00:00.0
12,12/05/2018,00:00.0,00:00.0
12,15/05/2018,00:00.0,00:00.0
12,17/05/2018,00:00.0,00:00.0
12,19/05/2018,00:00.0,00:00.0
12,22/05/2018,00:00.0,00:00.0
12,24/05/2018,00:00.0,00:00.0
12,26/05/2018,00:00.0,00:00.0
12,29/05/2018,00:00.0,00:00.0
12,31/05/2018,00:00.0,00:00.0
12,02/06/2018,00:00.0,00:00.0
12,05/06/2018,00:00.0,00:00.0
12,07/06/2018,00:00.0,00:00.0
12,09/06/2018,00:00.0,00:00.0
12,12/06/2018,00:00.0,00:00.0
12,14/06/2018,00:00.0,00:00.0
12,16/06/2018,00:00.0,00:00.0
12,19/06/2018,00:00.0,00:00.0
12,21/06/2018,00:00.0,00:00.0
12,23/06/2018,00:00.0,00:00.0
12,26/06/2018,00:00.0,00:00.0
12,28/06/2018,00:00.0,00:00.0
12,30/06/2018,00:00.0,00:00.0
13,01/05/2018,00:00.0,00:00.0
13,03/05/2018,00:00.0,00:00.0
13,05/05/2018,00:00.0,00:00.0
13,08/05/2018,00:00.0,00:00.0
13,10/05/2018,00:00.0,00:00.0
13,12/05/2018,00:00.0,00:00.0
13,15/05/2018,00:00.0,00:00.0
13,17/05/2018,00:00.0,00:00.0
13,19/05/2018,00:00.0,00:00.0
13,22/05/2018,00:00.0,00:00.0
13,24/05/2018,00:00.0,00:00.0
13,26/05/2018,00:00.0,00:00.0
13,29/05/2018,00:00.0,00:00.0
13,31/05/2018,00:00.0,00:00.0
13,02/06/2018,00:00.0,00:00.0
13,05/06/2018,00:00.0,00:00.0
13,07/06/2018,00:00.0,00:00.0
13,09/06/2018,00:00.0,00:00.0
13,12/06/2018,00:00.0,00:00.0
13,14/06/2018,00:00.0,00:00.0
13,16/06/2018,00:00.0,00:00.0
13,19/06/2018,00:00.0,00:00.0
13,21/06/2018,00:00.0,00:00.0
13,23/06/2018,00:00.0,00:00.0
13,26/06/2018,00:00.0,00:00.0
13,28/06/2018,00:00.0,00:00.0
13,30/06/2018,00:00.0,00:00.0
14,01/05/2018,00:00.0,00:00.0
14,03/05/2018,00:00.0,00:00.0
14,05/05/2018,00:00.0,00:00.0
14,08/05/2018,00:00.0,00:00.0
14,10/05/2018,00:00.0,00:00.0
14,12/05/2018,00:00.0,00:00.0
14,15/05/2018,00:00.0,00:00.0
14,17/05/2018,00:00.0,00:00.0
